BE,CPS
89.94,4592.44
89.92,4563.65
89.9,4569.16
89.88,4616.91
89.86,4639.76
89.84,4611.9
89.82,4563.62
89.8,4606.98
89.78,4605.31
89.76,4629.03
89.74,4646.18
89.72,4625.24
89.7,4607
89.68,4590.52
89.66,4597.82
89.64,4619.09
89.62,4619.07
89.6,4625.23
89.58,4626.5
89.56,4614.16
89.54,4630.51
89.52,4626.03
89.5,4649.94
89.48,4640.19
89.46,4650.15
89.44,4653.1
89.42,4687.85
89.4,4649.94
89.38,4650.68
89.36,4649.14
89.34,4755.05
89.32,4701.12
89.3,4675.57
89.28,4718.84
89.26,4680.41
89.24,4683.97
89.22,4697.12
89.2,4726.51
89.18,4726.98
89.16,4760.73
89.14,4778.96
89.12,4820.28
89.1,4809.82
89.08,4818.48
89.06,4840.15
89.04,4824.62
89.02,4879.58
89,4888.07
88.98,4862.07
88.96,4934.45
88.94,4967.21
88.92,4984.68
88.9,5007.12
88.88,5019.07
88.86,5092.9
88.84,5099.14
88.82,5153.85
88.8,5209.59
88.78,5230.47
88.76,5274.36
88.74,5339.23
88.72,5385.68
88.7,5448.36
88.68,5475.64
88.66,5539.12
88.64,5598.94
88.62,5677.32
88.6,5681.98
88.58,5813.98
88.56,5887.71
88.54,5903.28
88.52,5990.92
88.5,6103.26
88.48,6182.61
88.46,6246.1
88.44,6330.19
88.42,6417.45
88.4,6466.74
88.38,6531
88.36,6684.58
88.34,6761.05
88.32,6857.09
88.3,6980.18
88.28,7048.07
88.26,7154.01
88.24,7299.43
88.22,7312.25
88.2,7410.77
88.18,7451.57
88.16,7618.98
88.14,7761.62
88.12,7854.07
88.1,7929.21
88.08,8010.55
88.06,8134.81
88.04,8287.23
88.02,8425.33
88,8625.08
87.98,8781.55
87.96,8904.36
87.94,9011.94
87.92,9164.76
87.9,9343.01
87.88,9404.62
87.86,9492.71
87.84,9686.12
87.82,9751.25
87.8,9893.44
87.78,9940.72
87.76,10074.1
87.74,10092
87.72,10097
87.7,10150.2
87.68,10161.9
87.66,10216.3
87.64,10209.8
87.62,10177.2
87.6,10098
87.58,10022.1
87.56,9926.54
87.54,9924.96
87.52,9820.25
87.5,9703.58
87.48,9606.08
87.46,9440.63
87.44,9326.64
87.42,9197.14
87.4,8939.76
87.38,8817.4
87.36,8599.58
87.34,8456.55
87.32,8289.6
87.3,8099.24
87.28,7925.02
87.26,7738.25
87.24,7559.5
87.22,7349.11
87.2,7265.91
87.18,7054.56
87.16,6858.88
87.14,6724.38
87.12,6591.55
87.1,6429.19
87.08,6282.55
87.06,6160.65
87.04,6040.48
87.02,5967.5
87,5863.27
86.98,5756.68
86.96,5687.55
86.94,5584.39
86.92,5499.75
86.9,5398.89
86.88,5348.59
86.86,5322.69
86.84,5191.64
86.82,5164.15
86.8,5118.55
86.78,5040.72
86.76,5012.98
86.74,4934.97
86.72,4937.7
86.7,4902.68
