BE,CPS_Background_substract
89.84,143.38
89.82,95.22
89.8,138.75
89.78,137.25
89.76,161.16
89.74,178.53
89.72,157.79
89.7,139.72
89.68,123.39
89.66,130.85
89.64,152.31
89.62,152.47
89.6,158.83
89.58,160.3
89.56,148.14
89.54,164.69
89.52,160.41
89.5,184.54
89.48,175.01
89.46,185.2
89.44,188.38
89.42,223.4
89.4,185.72
89.38,186.69
89.36,185.38
89.34,291.65
89.32,238.01
89.3,212.72
89.28,256.3
89.26,218.14
89.24,221.97
89.22,235.41
89.2,265.13
89.18,265.92
89.16,300.04
89.14,318.66
89.12,360.43
89.1,350.4
89.08,359.5
89.06,381.64
89.04,366.56
89.02,422.04
89,431.05
88.98,405.55
88.96,478.52
88.94,511.91
88.92,530.03
88.9,553.15
88.88,565.79
88.86,640.41
88.84,647.44
88.82,703.02
88.8,759.69
88.78,781.53
88.76,826.44
88.74,892.4
88.72,940
88.7,1003.92
88.68,1032.47
88.66,1097.29
88.64,1158.54
88.62,1238.44
88.6,1244.62
88.58,1378.32
88.56,1453.83
88.54,1471.21
88.52,1560.76
88.5,1675.16
88.48,1756.67
88.46,1822.4
88.44,1908.83
88.42,1998.54
88.4,2050.35
88.38,2117.21
88.36,2273.58
88.34,2352.94
88.32,2451.99
88.3,2578.25
88.28,2649.39
88.26,2758.72
88.24,2907.71
88.22,2924.12
88.2,3026.35
88.18,3070.92
88.16,3242.32
88.14,3389.12
88.12,3485.85
88.1,3565.36
88.08,3651.19
88.06,3780.09
88.04,3937.34
88.02,4080.45
88,4285.46
87.98,4447.4
87.96,4575.82
87.94,4689.16
87.92,4847.93
87.9,5032.36
87.88,5100.24
87.86,5194.7
87.84,5394.74
87.82,5466.58
87.8,5615.66
87.78,5669.91
87.76,5810.42
87.74,5835.49
87.72,5847.67
87.7,5908.12
87.68,5927.1
87.66,5988.85
87.64,5989.7
87.62,5964.43
87.6,5892.46
87.58,5823.71
87.56,5735.2
87.54,5740.66
87.52,5642.88
87.5,5533.01
87.48,5442.19
87.46,5283.23
87.44,5175.59
87.42,5052.29
87.4,4800.81
87.38,4684.2
87.36,4471.87
87.34,4334.16
87.32,4172.33
87.3,3986.87
87.28,3817.34
87.26,3635.03
87.24,3460.53
87.22,3254.13
87.2,3174.83
87.18,2967.13
87.16,2774.85
87.14,2643.6
87.12,2513.86
87.1,2354.39
87.08,2210.46
87.06,2091.13
87.04,1973.38
87.02,1902.74
87,1800.72
86.98,1696.21
86.96,1629.08
86.94,1527.8
