BE,CPS
89.38,2645.57
89.36,2645.58
89.34,2604.68
89.32,2660.97
89.3,2652.79
89.28,2622.7
89.26,2654.64
89.24,2652.99
89.22,2652.96
89.2,2647.22
89.18,2683.18
89.16,2678.85
89.14,2693.65
89.12,2660.66
89.1,2663.33
89.08,2672.8
89.06,2660.75
89.04,2655.34
89.02,2671.95
89,2700.84
88.98,2680.72
88.96,2658.94
88.94,2657.44
88.92,2687.4
88.9,2705.07
88.88,2693.82
88.86,2700.7
88.84,2700.52
88.82,2708.67
88.8,2746.62
88.78,2744.22
88.76,2740.93
88.74,2759
88.72,2770.06
88.7,2757.79
88.68,2752.43
88.66,2748.82
88.64,2759.87
88.62,2805.84
88.6,2796.55
88.58,2827.91
88.56,2813.79
88.54,2826.49
88.52,2845.68
88.5,2874.97
88.48,2855.53
88.46,2900.22
88.44,2936.55
88.42,2943.99
88.4,2964.67
88.38,2978.8
88.36,3020.88
88.34,3047.88
88.32,3074.31
88.3,3078.54
88.28,3104.85
88.26,3122.15
88.24,3161.59
88.22,3236.81
88.2,3261.74
88.18,3291.69
88.16,3344.4
88.14,3344.54
88.12,3447.73
88.1,3472.1
88.08,3555.21
88.06,3635.75
88.04,3690.84
88.02,3757.46
88,3816.51
87.98,3927.84
87.96,4000.21
87.94,4093.36
87.92,4189
87.9,4294.46
87.88,4388.17
87.86,4475.73
87.84,4560.98
87.82,4630.52
87.8,4774.82
87.78,4825.35
87.76,4915.49
87.74,5009.54
87.72,5060.88
87.7,5125.32
87.68,5248.43
87.66,5247.93
87.64,5279.11
87.62,5301
87.6,5341.95
87.58,5360.39
87.56,5426.55
87.54,5449.4
87.52,5433.43
87.5,5376.79
87.48,5397.29
87.46,5338.92
87.44,5257.39
87.42,5177.48
87.4,5125.47
87.38,5040.31
87.36,4972.6
87.34,4885.58
87.32,4815.26
87.3,4689.39
87.28,4586.01
87.26,4485.67
87.24,4394.35
87.22,4299.2
87.2,4206.93
87.18,4095.08
87.16,4024.96
87.14,3929.12
87.12,3876.65
87.1,3723.96
87.08,3638.8
87.06,3577.61
87.04,3518.93
87.02,3404.62
87,3371.58
86.98,3292.87
86.96,3231.68
86.94,3161.05
86.92,3099.59
86.9,3099.42
86.88,3035.85
86.86,3019.95
86.84,2967.65
86.82,2940.72
86.8,2872.35
86.78,2839.76
86.76,2863.36
86.74,2827.21
86.72,2787.47
86.7,2827.11
86.68,2748.53
86.66,2709.13
86.64,2705.27
86.62,2700.82
86.6,2703.08
86.58,2663.35
86.56,2655.05
86.54,2666.46
86.52,2649.86
86.5,2673.11
86.48,2643.22
86.46,2653.45
86.44,2603.97
86.42,2588.95
86.4,2598.2
86.38,2580.39
86.36,2558.11
86.34,2546.75
86.32,2544.78
86.3,2559.63
86.28,2537.74
86.26,2552.82
86.24,2559.54
86.22,2566.09
86.2,2543.57
86.18,2520.25
86.16,2495.75
86.14,2487.97
86.12,2483.09
86.1,2479.32
86.08,2499.57
86.06,2478.07
86.04,2475.46
86.02,2495.49
86,2459.87
85.98,2483.72
85.96,2482.36
85.94,2466.89
85.92,2480.7
85.9,2487.36
85.88,2495.45
85.86,2487.35
85.84,2459.21
85.82,2451.24
85.8,2449.61
85.78,2482.8
85.76,2459.41
85.74,2484.68
85.72,2456.27
85.7,2478.11
85.68,2468.64
85.66,2462.38
85.64,2466.98
85.62,2457.03
85.6,2494.03
85.58,2479.1
85.56,2473.94
85.54,2465.05
85.52,2446.78
85.5,2478.53
85.48,2474.24
85.46,2447.65
85.44,2465.97
85.42,2457.09
85.4,2461.74
85.38,2470.65
85.36,2476.25
85.34,2480.67
85.32,2476.52
85.3,2482.28
85.28,2503.8
85.26,2509.53
85.24,2526.76
85.22,2493.47
85.2,2527.65
85.18,2523.9
85.16,2519.87
85.14,2512.63
85.12,2541.99
85.1,2549.74
85.08,2567.8
85.06,2591.24
85.04,2613.73
85.02,2607.68
85,2594.76
84.98,2633.56
84.96,2609.89
84.94,2626.74
84.92,2643.42
84.9,2685.58
84.88,2748.76
84.86,2749.77
84.84,2727.69
84.82,2749.55
84.8,2788.62
