BE,CPS_Background_substract
89.38,103.35
89.36,103.53
89.34,62.73
89.32,119.22
89.3,111.22
89.28,81.27
89.26,113.39
89.24,111.93
89.22,112.08
89.2,106.52
89.18,142.71
89.16,138.61
89.14,153.66
89.12,120.87
89.1,123.74
89.08,133.43
89.06,121.58
89.04,116.36
89.02,133.19
89,162.34
88.98,142.46
88.96,120.88
88.94,119.57
88.92,149.78
88.9,167.72
88.88,156.73
88.86,163.88
88.84,163.97
88.82,172.4
88.8,210.7
88.78,208.64
88.76,205.69
88.74,224.13
88.72,235.57
88.7,223.67
88.68,218.67
88.66,215.41
88.64,226.83
88.62,273.25
88.6,264.4
88.58,296.24
88.56,282.59
88.54,295.77
88.52,315.48
88.5,345.34
88.48,326.43
88.46,371.73
88.44,408.73
88.42,416.86
88.4,438.26
88.38,453.13
88.36,496.02
88.34,523.88
88.32,551.22
88.3,556.36
88.28,583.63
88.26,601.92
88.24,642.41
88.22,718.81
88.2,744.96
88.18,776.19
88.16,830.26
88.14,831.76
88.12,936.49
88.1,962.44
88.08,1047.27
88.06,1129.66
88.04,1186.7
88.02,1255.38
88,1316.59
87.98,1430.27
87.96,1505.11
87.94,1600.89
87.92,1699.32
87.9,1807.74
87.88,1904.58
87.86,1995.41
87.84,2084.08
87.82,2157.16
87.8,2305.25
87.78,2359.65
87.76,2453.82
87.74,2552.05
87.72,2607.67
87.7,2676.51
87.68,2804.22
87.66,2808.33
87.64,2844.17
87.62,2870.78
87.6,2916.51
87.58,2939.78
87.56,3010.88
87.54,3038.71
87.52,3027.71
87.5,2975.96
87.48,3001.38
87.46,2947.85
87.44,2871.03
87.42,2795.71
87.4,2748.21
87.38,2667.43
87.36,2603.99
87.34,2521.11
87.32,2454.82
87.3,2332.78
87.28,2233.06
87.26,2136.23
87.24,2048.27
87.22,1956.33
87.2,1867.12
87.18,1758.16
87.16,1690.81
87.14,1597.59
87.12,1547.66
87.1,1397.27
87.08,1314.26
87.06,1255.13
87.04,1198.42
87.02,1085.89
87,1054.58
86.98,977.48
86.96,917.79
86.94,848.56
86.92,788.39
86.9,789.52
86.88,727.14
86.86,712.41
86.84,661.19
86.82,635.31
86.8,567.87
86.78,536.16
86.76,560.68
86.74,525.39
86.72,486.45
86.7,526.95
86.68,449.11
86.66,410.38
86.64,407.19
86.62,403.4
86.6,406.33
86.58,367.2
86.56,359.49
86.54,371.51
86.52,355.5
86.5,379.37
86.48,350.05
86.46,360.88
86.44,311.91
86.42,297.38
86.4,307.13
