BE,CPS
89.38,1511.07
89.36,1496.51
89.34,1469.83
89.32,1501.53
89.3,1492.82
89.28,1503.51
89.26,1493.25
89.24,1498.57
89.22,1512.77
89.2,1501.29
89.18,1512.15
89.16,1530.12
89.14,1511.03
89.12,1518.96
89.1,1509.14
89.08,1515.4
89.06,1528.81
89.04,1507.22
89.02,1514.65
89,1517.73
88.98,1527.17
88.96,1541.38
88.94,1549.91
88.92,1560.36
88.9,1557.23
88.88,1539.76
88.86,1531.08
88.84,1553.04
88.82,1542.59
88.8,1559.57
88.78,1577.44
88.76,1553.53
88.74,1568.35
88.72,1581.31
88.7,1586.83
88.68,1587.23
88.66,1574.84
88.64,1593.83
88.62,1590.05
88.6,1603.67
88.58,1594.65
88.56,1617.02
88.54,1621.84
88.52,1636.83
88.5,1623.62
88.48,1623.33
88.46,1636.47
88.44,1664.21
88.42,1659.38
88.4,1679.9
88.38,1687.44
88.36,1700.85
88.34,1710.94
88.32,1741.81
88.3,1751.51
88.28,1782.41
88.26,1781.58
88.24,1796.58
88.22,1870.62
88.2,1897.47
88.18,1900.91
88.16,1949.4
88.14,1988.14
88.12,1997.32
88.1,2043.48
88.08,2131.83
88.06,2189.71
88.04,2243.96
88.02,2303.76
88,2374.92
87.98,2472.89
87.96,2565.22
87.94,2643.42
87.92,2708.95
87.9,2798.42
87.88,2903.81
87.86,3010.78
87.84,3055.43
87.82,3182.33
87.8,3249.3
87.78,3319.94
87.76,3451.46
87.74,3512.32
87.72,3603.4
87.7,3669.11
87.68,3745.25
87.66,3832.69
87.64,3886.18
87.62,3935.27
87.6,3997.82
87.58,4045.63
87.56,4054.2
87.54,4084.41
87.52,4120.41
87.5,4088.83
87.48,4049.25
87.46,4090
87.44,4047.28
87.42,4017.78
87.4,3974.92
87.38,3871.36
87.36,3826.27
87.34,3791.9
87.32,3705.82
87.3,3651.87
87.28,3519.12
87.26,3443.49
87.24,3347.04
87.22,3268.06
87.2,3181.37
87.18,3080.1
87.16,2973.15
87.14,2899.85
87.12,2808.05
87.1,2713.58
