BE,CPS_Background_subtract
89.38,51.79
89.36,37.27
89.34,10.6
89.32,42.35
89.3,33.67
89.28,44.41
89.26,34.19
89.24,39.55
89.22,53.81
89.2,42.38
89.18,53.3
89.16,71.34
89.14,52.31
89.12,60.31
89.1,50.54
89.08,56.86
89.06,70.35
89.04,48.81
89.02,56.3
89,59.45
88.98,68.96
88.96,83.26
88.94,91.89
88.92,102.46
88.9,99.43
88.88,82.05
88.86,73.45
88.84,95.52
88.82,85.16
88.8,102.25
88.78,120.25
88.76,96.45
88.74,111.39
88.72,124.48
88.7,130.15
88.68,130.69
88.66,118.43
88.64,137.57
88.62,133.93
88.6,147.71
88.58,138.85
88.56,161.39
88.54,166.39
88.52,181.58
88.5,168.55
88.48,168.45
88.46,181.78
88.44,209.75
88.42,205.15
88.4,225.91
88.38,233.71
88.36,247.39
88.34,257.76
88.32,288.94
88.3,298.97
88.28,330.23
88.26,329.76
88.24,345.13
88.22,419.63
88.2,446.97
88.18,450.9
88.16,499.93
88.14,539.26
88.12,549.04
88.1,595.84
88.08,684.94
88.06,743.63
88.04,798.75
88.02,859.48
88,931.66
87.98,1030.75
87.96,1124.31
87.94,1203.82
87.92,1270.73
87.9,1361.68
87.88,1468.67
87.86,1577.36
87.84,1623.78
87.82,1752.59
87.8,1821.54
87.78,1894.24
87.76,2027.97
87.74,2091.11
87.72,2184.56
87.7,2252.73
87.68,2331.41
87.66,2421.48
87.64,2477.67
87.62,2529.51
87.6,2594.89
87.58,2645.58
87.56,2657.04
87.54,2690.18
87.52,2729.15
87.5,2700.51
87.48,2663.84
87.46,2707.53
87.44,2667.72
87.42,2641.09
87.4,2601.07
87.38,2500.23
87.36,2457.81
87.34,2426.09
87.32,2342.56
87.3,2291.1
87.28,2160.7
87.26,2087.35
87.24,1993.07
87.22,1916.17
87.2,1831.48
87.18,1732.09
87.16,1626.91
87.14,1555.31
87.12,1465.1
87.1,1372.13
87.08,1269.32
87.06,1202
87.04,1094.31
87.02,1043.38
