BE,CPS
72,2192.67
71.98,2172.88
71.96,2175.41
71.94,2190.31
71.92,2183.99
71.9,2198.87
71.88,2174.56
71.86,2177.1
71.84,2166.91
71.82,2164.8
71.8,2182.38
71.78,2211.36
71.76,2189.41
71.74,2183.72
71.72,2143.85
71.7,2178.89
71.68,2188.22
71.66,2182
71.64,2221.93
71.62,2212.54
71.6,2202.6
71.58,2178.81
71.56,2212.51
71.54,2209.39
71.52,2223.6
71.5,2222.65
71.48,2267.22
71.46,2259.67
71.44,2290.05
71.42,2317.09
71.4,2311.08
71.38,2319.01
71.36,2332.43
71.34,2354.49
71.32,2404.61
71.3,2431.71
71.28,2448.78
71.26,2458.58
71.24,2478.53
71.22,2513.32
71.2,2551.4
71.18,2622.76
71.16,2646.13
71.14,2675.52
71.12,2726.28
71.1,2746.03
71.08,2777.21
71.06,2824.99
71.04,2874.22
71.02,2904.04
71,2982.07
70.98,3026.21
70.96,3021.02
70.94,3047.47
70.92,3099.63
70.9,3121.22
70.88,3144.34
70.86,3153.65
70.84,3175.85
70.82,3228.47
70.8,3218.54
70.78,3217.77
70.76,3225.03
70.74,3207.33
70.72,3175.55
70.7,3185.04
70.68,3149.32
70.66,3131.05
70.64,3099.7
70.62,3094.38
70.6,3057.08
70.58,3039.27
70.56,3013.48
70.54,3020.53
70.52,2985.85
70.5,2963.52
70.48,2940.78
70.46,2912.93
70.44,2905.88
70.42,2921.46
70.4,2969.82
70.38,2952.81
70.36,2957.11
70.34,2977.8
70.32,2961.59
70.3,3004.65
70.28,3045.53
70.26,3085.1
70.24,3154.76
70.22,3202.6
70.2,3271.37
70.18,3369.68
70.16,3440.24
70.14,3520.23
70.12,3593.18
70.1,3648.93
70.08,3729.13
70.06,3857.4
70.04,3933.24
70.02,4054.04
70,4126.85
69.98,4203.28
69.96,4295.57
69.94,4406.11
69.92,4495.7
69.9,4530.67
69.88,4618.7
69.86,4667.01
69.84,4701.37
69.82,4754.79
69.8,4790.37
69.78,4807.02
69.76,4780.43
69.74,4769.85
69.72,4792.84
69.7,4732.57
69.68,4665
69.66,4624.04
69.64,4580.32
69.62,4554.98
69.6,4501.05
69.58,4427.14
69.56,4341.6
69.54,4205.3
69.52,4113.36
69.5,4031.53
69.48,3963.9
69.46,3834.42
69.44,3771.52
69.42,3662.56
69.4,3589.98
69.38,3487.25
69.36,3397.95
69.34,3304.31
69.32,3229.85
69.3,3191.75
69.28,3118.39
69.26,3104.3
69.24,3086.05
69.22,3022.5
69.2,3001.3
69.18,3028.59
69.16,2971.77
69.14,2960.63
69.12,2973.36
69.1,2955.34
69.08,2957.92
69.06,2925.34
69.04,2997.91
69.02,3001.93
69,3033.6
68.98,3034.3
68.96,3027.05
68.94,3064.04
68.92,3080.05
68.9,3099.41
68.88,3137.04
68.86,3145.43
68.84,3154.75
68.82,3197.25
68.8,3181.35
68.78,3158.09
68.76,3164.27
68.74,3138
68.72,3162.34
68.7,3129.63
68.68,3096.63
68.66,3068.52
68.64,3046.32
68.62,3005.21
68.6,2979.07
68.58,2925.99
68.56,2884.95
68.54,2808.3
68.52,2775.9
68.5,2701.18
68.48,2676.77
68.46,2590.82
68.44,2551.31
68.42,2509.03
68.4,2433.76
68.38,2383.25
68.36,2322.93
68.34,2226.78
68.32,2192.21
68.3,2151.55
68.28,2106.65
68.26,2050.03
68.24,2034.01
68.22,1984.95
68.2,1936.11
68.18,1880.3
68.16,1867
68.14,1832.35
68.12,1797.3
68.1,1728.79
68.08,1723.38
68.06,1711.92
68.04,1688.6
68.02,1674.85
68,1646.96
67.98,1618.42
67.96,1617.14
67.94,1592.81
67.92,1573.31
67.9,1545.73
67.88,1553.98
67.86,1536.28
67.84,1552.43
67.82,1535.48
67.8,1499.57
67.78,1502.27
67.76,1511.4
67.74,1485.42
67.72,1471.22
67.7,1485.45
67.68,1458.15
67.66,1464.96
67.64,1475.13
67.62,1439.8
67.6,1447.87
67.58,1448.8
67.56,1461.76
67.54,1439.34
67.52,1437.95
67.5,1437.55
67.48,1437.56
67.46,1415.92
67.44,1439.25
67.42,1426.03
67.4,1414.18
67.38,1429.61
67.36,1424.2
67.34,1408.85
67.32,1391.82
67.3,1402.21
