BE,CPS
105,7170.35
104.98,7222.1
104.96,7214.76
104.94,7231.01
104.92,7277.78
104.9,7264.57
104.88,7262.68
104.86,7252.58
104.84,7285.67
104.82,7273.86
104.8,7267.44
104.78,7281.42
104.76,7275.01
104.74,7293.55
104.72,7274.37
104.7,7240.55
104.68,7244.67
104.66,7285.7
104.64,7263.35
104.62,7252.25
104.6,7318.66
104.58,7294.5
104.56,7293.29
104.54,7299.12
104.52,7336.57
104.5,7361.52
104.48,7368.87
104.46,7323.24
104.44,7293.79
104.42,7387.83
104.4,7362.1
104.38,7321.18
104.36,7345.2
104.34,7310.45
104.32,7354.51
104.3,7391.11
104.28,7337.09
104.26,7339.98
104.24,7346.63
104.22,7397.93
104.2,7373.05
104.18,7412.89
104.16,7444.68
104.14,7393.72
104.12,7388.02
104.1,7376.99
104.08,7444.75
104.06,7422.71
104.04,7412.35
104.02,7427.45
104,7420.19
103.98,7435.21
103.96,7388.7
103.94,7443.16
103.92,7498.64
103.9,7471.85
103.88,7469.2
103.86,7495.24
103.84,7498.71
103.82,7473.16
103.8,7505.68
103.78,7467.88
103.76,7497.74
103.74,7517.09
103.72,7517.31
103.7,7496.67
103.68,7525.59
103.66,7573.86
103.64,7599.47
103.62,7570.93
103.6,7636.61
103.58,7621.11
103.56,7640.91
103.54,7631.74
103.52,7630.67
103.5,7687.7
103.48,7709.98
103.46,7740.48
103.44,7753.4
103.42,7726.15
103.4,7721.64
103.38,7755.06
103.36,7807.89
103.34,7812.38
103.32,7825.4
103.3,7880.04
103.28,7859.38
103.26,7871.45
103.24,7925.95
103.22,7921.59
103.2,7941.53
103.18,7948.59
103.16,7924.5
103.14,7979.31
103.12,8029.05
103.1,8089.13
103.08,8023.38
103.06,8063.18
103.04,8123.81
103.02,8170.13
103,8191.49
102.98,8182.35
102.96,8193.56
102.94,8235.88
102.92,8307.25
102.9,8387.59
102.88,8357.48
102.86,8397.43
102.84,8457.94
102.82,8468.43
102.8,8449.08
102.78,8543.67
102.76,8550.79
102.74,8609.85
102.72,8607.09
102.7,8652.58
102.68,8668.68
102.66,8689.87
102.64,8713.86
102.62,8739.59
102.6,8778.95
102.58,8809.67
102.56,8769.56
102.54,8851.21
102.52,8857.3
102.5,8868.37
102.48,8847.31
102.46,8907.33
102.44,8972.67
102.42,8985.27
102.4,9050.01
102.38,9043.81
102.36,9049.57
102.34,9053.82
102.32,9112.74
102.3,9079.94
102.28,9101.23
102.26,9126.38
102.24,9140.57
102.22,9155.9
102.2,9197.62
102.18,9181.48
102.16,9236.95
102.14,9188.29
102.12,9160.44
102.1,9259.27
102.08,9200.65
102.06,9198.05
102.04,9203.68
102.02,9260.18
102,9233.59
101.98,9234.09
101.96,9266.54
101.94,9276.41
101.92,9272.96
101.9,9280.33
101.88,9279.03
101.86,9287.18
101.84,9263.83
101.82,9298.73
101.8,9307.11
101.78,9201.6
101.76,9207.6
101.74,9238.85
101.72,9209.2
101.7,9226.29
101.68,9228.84
101.66,9182.47
101.64,9159.99
101.62,9132.67
101.6,9105.83
101.58,9050.16
101.56,9047.03
101.54,9065.18
101.52,9068.22
101.5,9026.33
101.48,9021.67
101.46,9009.9
101.44,9020.29
101.42,9026.38
101.4,8926.33
101.38,8943.02
101.36,8969.83
101.34,8959.07
101.32,8942.16
101.3,8920.42
101.28,8911.79
101.26,8915.59
101.24,8945.92
101.22,8926.92
101.2,8931.84
101.18,8938.21
101.16,8927.95
101.14,8910.22
101.12,8950.01
101.1,8927.83
101.08,8983.38
101.06,8945.5
101.04,8960.82
101.02,8939.09
101,8951.74
100.98,8952.57
100.96,8956.79
100.94,8897.4
100.92,8924.95
100.9,8898.94
100.88,8932.29
100.86,8899.28
100.84,8853.03
100.82,8852.34
100.8,8845.23
100.78,8833.62
100.76,8817.39
100.74,8759.98
100.72,8771.65
100.7,8738.11
100.68,8668.51
100.66,8661.07
100.64,8677.54
100.62,8673.9
100.6,8620.37
100.58,8596.7
100.56,8587.22
100.54,8576.47
100.52,8592.07
100.5,8546.22
100.48,8602.42
100.46,8639.56
100.44,8635.13
100.42,8598.17
100.4,8635.35
100.38,8655.93
100.36,8707.15
100.34,8670.6
100.32,8662.26
100.3,8654.09
100.28,8596.27
100.26,8544.18
100.24,8518.01
100.22,8494.33
100.2,8402.16
100.18,8361.36
100.16,8340.11
100.14,8233.07
100.12,8141.27
100.1,8068.45
100.08,8035.71
100.06,7911
100.04,7798.15
100.02,7677.73
100,7621.38
99.98,7598.7
99.96,7514.63
99.94,7454.06
99.92,7390.15
99.9,7387.4
99.88,7298.35
99.86,7257.76
99.84,7193.77
99.82,7182.61
99.8,7107.47
99.78,7130.1
99.76,7133.25
99.74,7093.37
99.72,7039.9
99.7,7015.05
99.68,6922.42
99.66,6878.47
99.64,6826.39
99.62,6785.31
99.6,6702.51
99.58,6663.81
99.56,6637.16
99.54,6559.07
99.52,6474.57
99.5,6395.3
99.48,6343.41
99.46,6229.72
99.44,6134.59
99.42,6061.39
99.4,6022.87
99.38,5999.33
99.36,5889.41
99.34,5783.1
99.32,5727.19
99.3,5617.42
99.28,5526.85
99.26,5483.91
99.24,5489.94
99.22,5385.08
99.2,5330.81
99.18,5240.56
99.16,5193.07
99.14,5198.56
99.12,5124.9
99.1,5129.12
99.08,5080.21
99.06,5048.16
99.04,5060.44
99.02,5008.96
99,4960.27
