BE,CPS_Background_substract
105,-35.92
104.98,15.9
104.96,8.6
104.94,24.97
104.92,72.07
104.9,59.13
104.88,57.5
104.86,47.62
104.84,81.08
104.82,69.59
104.8,63.46
104.78,77.8
104.76,71.72
104.74,90.67
104.72,71.82
104.7,38.18
104.68,42.49
104.66,83.91
104.64,61.84
104.62,50.97
104.6,117.92
104.58,94.2
104.56,93.41
104.54,99.7
104.52,137.78
104.5,163.48
104.48,171.62
104.46,126.57
104.44,97.56
104.42,192.49
104.4,167.52
104.38,127.19
104.36,151.9
104.34,117.69
104.32,162.5
104.3,200.01
104.28,146.67
104.26,150.24
104.24,157.62
104.22,209.88
104.2,185.85
104.18,226.73
104.16,259.71
104.14,209.71
104.12,204.95
104.1,194.81
104.08,263.78
104.06,242.85
104.04,233.56
104.02,249.81
104,243.67
103.98,259.88
103.96,214.35
103.94,270.05
103.92,327.02
103.9,301.62
103.88,300.34
103.86,327.89
103.84,332.88
103.82,308.75
103.8,342.84
103.78,306.44
103.76,337.85
103.74,358.84
103.72,360.72
103.7,341.64
103.68,372.27
103.66,422.47
103.64,450.15
103.62,423.55
103.6,491.48
103.58,478.17
103.56,500.26
103.54,493.35
103.52,494.55
103.5,554.12
103.48,579.05
103.46,612.36
103.44,628.16
103.42,603.67
103.4,601.92
103.38,638.27
103.36,694.28
103.34,701.99
103.32,718.3
103.3,776.5
103.28,759.32
103.26,774.94
103.24,833.26
103.22,832.71
103.2,856.58
103.18,867.61
103.16,847.41
103.14,906.37
103.12,960.51
103.1,1025.29
103.08,963.96
103.06,1008.38
103.04,1073.93
103.02,1125.41
103,1152.05
102.98,1148.17
102.96,1164.71
102.94,1212.59
102.92,1289.87
102.9,1376.52
102.88,1352.61
102.86,1398.97
102.84,1466.2
102.82,1483.49
102.8,1470.88
102.78,1572.67
102.76,1587.07
102.74,1653.7
102.72,1658.54
102.7,1711.88
102.68,1735.93
102.66,1765.21
102.64,1797.44
102.62,1831.56
102.6,1879.54
102.58,1919.05
102.56,1887.59
102.54,1978.31
102.52,1993.53
102.5,2013.83
102.48,2001.94
102.46,2071.46
102.44,2146.63
102.42,2169.17
102.4,2244.2
102.38,2248.3
102.36,2264.44
102.34,2279.13
102.32,2348.81
102.3,2326.68
102.28,2358.78
102.26,2394.9
102.24,2420.18
102.22,2446.72
102.2,2499.9
102.18,2495.19
102.16,2562.41
102.14,2525.32
102.12,2508.97
102.1,2619.8
102.08,2572.97
102.06,2582.2
102.04,2599.75
102.02,2668.48
102,2654.05
101.98,2666.77
101.96,2711.64
101.94,2734.04
101.92,2743.16
101.9,2763.2
101.88,2774.61
101.86,2795.57
101.84,2784.98
101.82,2832.87
101.8,2854.33
101.78,2761.47
101.76,2780.21
101.74,2824.4
101.72,2807.62
101.7,2837.71
101.68,2853.34
101.66,2819.89
101.64,2810.29
101.62,2795.78
101.6,2781.69
101.58,2738.57
101.56,2748.03
101.54,2778.92
101.52,2794.76
101.5,2765.55
101.48,2773.6
101.46,2774.54
101.44,2797.75
101.42,2816.75
101.4,2729.21
101.38,2758.54
101.36,2798.17
101.34,2800.24
101.32,2796.14
101.3,2787.18
101.28,2791.34
101.26,2808.01
101.24,2851.4
101.22,2845.44
101.2,2863.48
101.18,2883.07
101.16,2886.03
101.14,2881.51
101.12,2934.74
101.1,2925.97
101.08,2995.25
101.06,2970.98
101.04,3000.05
101.02,2992.03
101,3018.51
100.98,3033.24
100.96,3051.45
100.94,3005.83
100.92,3047.35
100.9,3035.24
100.88,3082.72
100.86,3063.75
100.84,3031.39
100.82,3044.65
100.8,3051.53
100.78,3053.91
100.76,3051.67
100.74,3008.04
100.72,3033.61
100.7,3013.88
100.68,2957.84
100.66,2963.98
100.64,2994.17
100.62,3004.3
100.6,2964.35
100.58,2954.22
100.56,2958.3
100.54,2961.12
100.52,2990.42
100.5,2958.13
100.48,3028.2
100.46,3079.46
100.44,3089.18
100.42,3066.27
100.4,3117.74
100.38,3152.77
100.36,3218.74
100.34,3196.84
100.32,3203.18
100.3,3209.71
100.28,3166.4
100.26,3128.65
100.24,3116.76
100.22,3107.32
100.2,3029.03
100.18,3001.99
100.16,2994.46
100.14,2900.72
100.12,2821.85
100.1,2761.68
100.08,2741.51
100.06,2628.84
100.04,2527.58
100.02,2418.24
100,2372.76
99.98,2360.9
99.96,2287.31
99.94,2236.99
99.92,2183.09
99.9,2190.37
99.88,2111
99.86,2079.94
99.84,2025.23
99.82,2023.34
99.8,1957.17
99.78,1988.91
99.76,2001.24
99.74,1970.38
99.72,1925.74
99.7,1909.64
99.68,1825.38
99.66,1789.63
99.64,1745.55
99.62,1712.31
99.6,1637.01
99.58,1605.67
99.56,1586.29
99.54,1515.14
99.52,1437.23
99.5,1364.21
99.48,1318.36
99.46,1210.22
99.44,1120.22
99.42,1051.84
99.4,1017.99
99.38,999.03
99.36,893.2
99.34,790.51
99.32,737.98
99.3,631.11
99.28,543.02
99.26,502.39
99.24,510.76
99.22,407.77
99.2,355.12
99.18,266.09
99.16,219.61
99.14,226.13
99.12,153.18
99.1,158.12
99.08,109.71
99.06,78.02
99.04,90.72
99.02,39.42
99,-9.23
