BE,CPS
101.74,12369.9
101.72,12388.6
101.7,12318.3
101.68,12281
101.66,12274.8
101.64,12271.9
101.62,12379.8
101.6,12302.9
101.58,12223.9
101.56,12221.2
101.54,12252.7
101.52,12266.6
101.5,12272
101.48,12206
101.46,12209.8
101.44,12180.2
101.42,12227.7
101.4,12179.1
101.38,12237.3
101.36,12293.4
101.34,12172
101.32,12162.5
101.3,12120.2
101.28,12159.7
101.26,12134.5
101.24,12195.7
101.22,12151
101.2,12183.9
101.18,12188.8
101.16,12188.7
101.14,12164.4
101.12,12173.9
101.1,12206.8
101.08,12250.2
101.06,12217.5
101.04,12190
101.02,12246.7
101,12254.1
100.98,12214
100.96,12287.2
100.94,12344.3
100.92,12317.5
100.9,12339.6
100.88,12357.7
100.86,12424.1
100.84,12500.5
100.82,12538.7
100.8,12641
100.78,12772.5
100.76,12883.8
100.74,12978.5
100.72,13116.1
100.7,13320.9
100.68,13485.2
100.66,13719.2
100.64,13928.2
100.62,14211.6
100.6,14431.9
100.58,14614.4
100.56,14911.3
100.54,15176.3
100.52,15347
100.5,15543.7
100.48,15708.2
100.46,15836.5
100.44,15959.5
100.42,16129.7
100.4,16148.8
100.38,16111.7
100.36,16098
100.34,16129.3
100.32,16043.8
100.3,15879.3
100.28,15762.1
100.26,15710.4
100.24,15622
100.22,15536.9
100.2,15428.8
100.18,15384.2
100.16,15439.5
100.14,15345.6
100.12,15474
100.1,15529
100.08,15775.2
100.06,15934
100.04,16106.6
100.02,16365.5
100,16765.9
99.98,17008.5
99.96,17356.9
99.94,17574.6
99.92,17945.7
99.9,18266
99.88,18500.3
99.86,18660.4
99.84,18844.1
99.82,18899.3
99.8,19007.5
99.78,18949
99.76,18781.1
99.74,18602.1
99.72,18390.4
99.7,18155.6
99.68,17848.8
99.66,17488.5
99.64,17011.7
99.62,16587.5
99.6,16101
99.58,15602.3
99.56,15111.2
99.54,14689.5
99.52,14133.4
99.5,13704.9
99.48,13175.9
99.46,12693.1
99.44,12210.5
99.42,11827.7
99.4,11429
99.38,11056.2
99.36,10820.8
99.34,10521.5
99.32,10268.9
99.3,10033.8
99.28,9830.26
99.26,9695.91
99.24,9629.38
99.22,9495.37
99.2,9390.89
99.18,9294.37
99.16,9211.98
99.14,9114.08
99.12,9096.53
99.1,9028.32
99.08,8934.39
99.06,8870.05
99.04,8856.91
99.02,8830.12
99,8801.02
98.98,8728.75
98.96,8659.29
98.94,8683.72
