BE,CPS_Background_substract
101.74,33.8
101.72,53
101.7,-17.1
101.68,-53.9
101.66,-59.5
101.64,-61.7
101.62,46.6
101.6,-30
101.58,-107.9
101.56,-109.5
101.54,-77.2
101.52,-62.7
101.5,-56.7
101.48,-121.4
101.46,-116.5
101.44,-144.6
101.42,-96.1
101.4,-143.3
101.38,-84.2
101.36,-27.9
101.34,-147.8
101.32,-155.7
101.3,-196
101.28,-154.9
101.26,-178.3
101.24,-116
101.22,-159
101.2,-124.9
101.18,-118.8
101.16,-117.7
101.14,-140.6
101.12,-129.8
101.1,-95.9
101.08,-52
101.06,-83.8
101.04,-110.2
101.02,-53
101,-45.1
100.98,-84.3
100.96,-11
100.94,46.5
100.92,19.9
100.9,42.5
100.88,61.2
100.86,128.9
100.84,207.4
100.82,248.1
100.8,354
100.78,490.4
100.76,607.9
100.74,709.8
100.72,856
100.7,1071.7
100.68,1248.6
100.66,1497.8
100.64,1724.2
100.62,2028.1
100.6,2271.4
100.58,2479
100.56,2804.3
100.54,3100.6
100.52,3304.8
100.5,3537.3
100.48,3739.6
100.46,3907.4
100.44,4071.6
100.42,4285.2
100.4,4348.3
100.38,4355.2
100.36,4385.9
100.34,4462.4
100.32,4421.6
100.3,4300.6
100.28,4226.2
100.26,4217.1
100.24,4170.9
100.22,4127.6
100.2,4060.6
100.18,4057
100.16,4154.4
100.14,4102
100.12,4273.6
100.1,4372.8
100.08,4666.2
100.06,4874.4
100.04,5098.5
100.02,5412.2
100,5872
99.98,6177.1
99.96,6592.2
99.94,6879.5
99.92,7324.7
99.9,7723.2
99.88,8038.8
99.86,8282.7
99.84,8552.9
99.82,8696.1
99.8,8894.3
99.78,8926.1
99.76,8847.73
99.74,8757.33
99.72,8632.98
99.7,8484.02
99.68,8260.79
99.66,7981.25
99.64,7581.15
99.62,7230.1
99.6,6812.53
99.58,6378.36
99.56,5947.43
99.54,5582.21
99.52,5077.48
99.5,4696.5
99.48,4210.1
99.46,3765.39
99.44,3316.35
99.42,2963.53
99.4,2591.04
99.38,2240.92
99.36,2026.02
99.34,1744.36
99.32,1507.01
99.3,1284.91
99.28,1092.42
99.26,967.87
99.24,910.55
99.22,784.48
99.2,686.95
99.18,596.46
99.16,519.33
99.14,425.73
99.12,412.36
99.1,347.66
99.08,256.33
99.06,193.95
99.04,182.66
99.02,157.46
99,129.67
98.98,57.99
98.96,-11.36
98.94,13.21
